https://www.youtube.com/watch?v=jSq2Jhn9eT0

EDUBU1		Груз
EDUFAKE1	Манекен ТТ
EDUFAKE2	Манекен ZT
EDUFAKE3	ЕСТЬ манекен
EDUST1		ТТ 100 Памир
EDUST2		ТТ 110 Памир
EDUST3		ТТ 120 Памир
EDUMI1		Шахтные заградители ZT 200
EDUMI2		Заградитель ЗТ 210
EDUOH1		ЦК Тайга
EDUMT1		ZT 100 Сибирия
EDUMT2		ZT 101 Сибирия
EDUMT3		ZT 102 Сибирия
EDUSPY1		НЕО
EDUMW1		TK 100 Чт
EDUMW2		TK 110 Чт
EDUMW3		ТК 111 Дон
EDUHW1		TL 70 Волга
EDUHW2		TL 80 Волга
EDUHT1			HT 400 Кавказ
EDUHT2		HT 500 Кавказ
EDUHT3		HT 600 Кавказ
EDUBT1		HT 800 Урал
EDUBT2		HT 900 Урал
EDUSS1		ESS 30 ОК
EDUSS2		ESS 40 ОК
EDUSS3		ESS 50 ОК
EDUBS1		ЭСС 200 Байкал
EDUBS2		ЭСС 300 Байкал
EDUA11		МИ 106 Козак
EDUA12		МИ 107 Козак
EDUA21			МИ 140 атаман
EDUA22		МИ 250 атаман
EDUA31		MI 200 Han
EDUA32		MI 310 Han
EDUA41		MI 400 Тор
EDUA42		MI 510 Тор
EDUAS1		МИ 27 Боярин
EDUMM11		Грузовик
EDUMM21		Грузовик
EDUMM31		Тяжёлый танк
EDUMM41		бак
EDUUT		Единицы транспортеров
EDUSTEALTH	STEALTH
EDUSM1		Киев
EDUSM2		Киев II
EDUCTF		Флаг CTF


Оборудование

код		эффект
EDWMM21		Пистолет (ЭДУММ21)
EDWMM31		Ракетная установка (ЭДУММ31)
EDWMM41		Пистолет (ЭДУММ41)
EDWMM42		Двойной пистолет (ЭДУММ41)
EDWCH1		MG
EDWCH2		Двойной MG
EDWCA1		Памирская пушка
EDWCA2		Памирский двойной пистолет
EDWSR1AB	Ракетная установка Памир
EDWSR2AB	Двойная ракетная установка
EDWSR1		Ракетная пусковая установка
EDWSR2		Ракетная установка УПГ1
EDWSR3		Ракетная установка УПГ2
EDWSL1		Лазерная пушка
EDWSL2		Лазерная пушка УПГ1
EDWSL3		Лазерная пушка УПГ2
EDWSI1		Ионная пушка
EDWSI2		Ионная пушка УПГ1
EDWHC1		Тяжелая пушка
EDWHC2		Тяжелая двойная пушка
EDWMR1		Тяжелая ракетная установка
EDWMR2		Тяжелая ракетная установка УПГ1
EDWMR3		Тяжелая ракетная установка УПГ2
EDWHCShip1	Тяжелая артиллерия дальнего действия
EDWHCShip2	Тяжелая двойная пушка дальнего действия
EDWMRShip1	Тяжелая ракетная установка дальнего действия
EDWMRShip2	Тяжелая ракетная установка большой дальности УПГ1
EDWMRShip3	Тяжелая ракетная установка большой дальности УПГ2
EDWHR1		Баллистическая ракетная установка
EDWHL1		Тяжелая лазерная пушка
EDWHL2		Тяжелая лазерная пушка УПГ1
EDWHL3		Тяжелая лазерная пушка УПГ2
EDWHI1		(Тяжелая) ионная пушка
EDWHI2		УПГ1 (тяжелая) ионная пушка
EDWAC1		MG (воздух)
EDWAC2		Двойной MG (воздушный)
EDWAR1		Пусковая установка авиационных ракет
EDWAR2		Пусковая установка авиационных ракет УПГ1
EDWAMR1		Пусковая установка тяжелых воздушных ракет
EDWAMR2		Тяжелая авиационная ракетная установка УПГ1
EDWAB1		Бомбовый отсек (3 бомбы)
EDWAB2		Бомбовый отсек (10 бомб)
